VehId,Trip,window_id,duration_s,sample_count,mean_speed_kmh,max_speed_kmh,std_speed_kmh,mean_pos_accel_ms2,max_pos_accel_ms2,mean_neg_accel_ms2,min_neg_accel_ms2,hard_braking_events,hard_braking_rate_min,rapid_accel_events,rapid_accel_rate_min,high_jerk_events,idle_ratio,mean_power_kw,total_energy_kwh,cluster_id,cluster_label,pca_x,pca_y
455,1969,1,105.0,86,20.16,35.28,11.73,0.65,1.541,-0.787,-1.827,0,0.0,0,0.0,0,0.14,3.65,0.0923,1,Moderado / Regular,-0.513958466604397,-1.0862798536894993
455,1969,2,120.0,112,25.95,41.98,12.0,0.639,2.13,-0.742,-1.723,0,0.0,1,0.5,0,0.062,1.84,0.0666,1,Moderado / Regular,0.4432423400623453,-1.1256921711733845
455,1969,3,111.0,86,27.78,52.44,20.24,0.914,2.249,-0.789,-2.38,3,1.62,2,1.08,0,0.221,3.32,0.0991,2,Agressivo / Dinâmico,2.6297565515132457,-1.0768798958281183
455,1969,4,120.0,111,38.94,65.97,19.03,0.631,1.751,-0.935,-2.182,3,1.5,0,0.0,0,0.054,9.24,0.2963,1,Moderado / Regular,0.824045663380079,0.44431707961801925
455,1969,5,111.0,97,36.86,67.3,22.94,0.679,1.911,-1.007,-1.892,0,0.0,0,0.0,0,0.155,3.74,0.1032,1,Moderado / Regular,1.0146211807460523,0.18586288964943237
455,1969,6,115.0,105,41.09,65.66,22.35,0.571,1.742,-0.745,-2.287,3,1.57,0,0.0,0,0.086,1.51,0.0446,1,Moderado / Regular,0.9532611177388429,0.8592904427668089
455,1969,7,109.0,80,19.21,47.54,14.9,0.592,1.386,-0.781,-2.014,1,0.55,0,0.0,0,0.225,0.93,0.0272,1,Moderado / Regular,-0.46806786365678277,-0.7167890098293646
455,1969,8,110.0,90,29.57,62.88,19.34,1.026,1.994,-0.984,-1.955,0,0.0,0,0.0,0,0.133,2.21,0.0517,1,Moderado / Regular,1.6388338978681365,-1.050468740387236
455,1969,9,112.0,89,43.63,76.37,28.87,0.896,2.359,-0.703,-1.993,0,0.0,1,0.54,0,0.191,5.09,0.1278,2,Agressivo / Dinâmico,2.8706147908917385,0.12075213701848822
455,1970,0,119.0,117,43.91,63.86,17.31,0.684,1.905,-0.709,-2.366,3,1.51,0,0.0,0,0.0,4.3,0.141,1,Moderado / Regular,1.0637443054883846,0.44966592736391564
455,1972,0,116.0,98,18.73,59.69,22.21,0.405,0.71,-0.542,-2.043,1,0.52,0,0.0,0,0.327,0.22,0.0114,0,Econômico / Suave,-1.1412461093636186,0.2391794268557233
455,1972,1,60.0,38,32.61,57.92,23.81,0.694,1.507,0.0,0.0,0,0.0,0,0.0,0,0.263,7.37,0.0866,1,Moderado / Regular,0.6315545044518979,0.13367507796991365
455,1984,0,120.0,119,75.22,86.77,6.87,0.266,0.681,-0.253,-0.561,0,0.0,0,0.0,0,0.0,10.27,0.343,0,Econômico / Suave,-2.0850324466848726,2.434988854284862
455,1984,1,120.0,119,46.12,69.17,19.44,0.483,1.387,-0.473,-1.639,0,0.0,0,0.0,0,0.017,3.5,0.114,0,Econômico / Suave,-0.1979432633368683,1.0077360704129057
455,1984,2,116.0,88,43.13,70.65,28.75,0.246,0.544,-0.704,-2.271,1,0.52,0,0.0,0,0.273,-1.13,-0.0136,0,Econômico / Suave,-0.9253242682206271,2.179865785132418
455,1984,3,117.0,100,54.26,76.34,20.78,0.62,2.659,-0.262,-0.585,0,0.0,2,1.03,0,0.07,11.89,0.3409,2,Agressivo / Dinâmico,2.260688912484329,0.46242750810019234
455,1984,4,108.0,83,42.05,72.05,30.13,0.205,0.37,-0.548,-2.596,3,1.67,0,0.0,0,0.289,-0.63,-0.0044,0,Econômico / Suave,-0.8430082503512926,2.5090295253775055
